Modelo,Accuracy,Precision,Recall,F1,ROC-AUC
Random Forest,0.8884285113793311,0.5910153714351616,0.655076923076923,0.6178324540588691,0.9211397366642066
Gradient Boosting,0.8884285113793311,0.6344857241142071,0.4738461538461539,0.540110741971207,0.9052875793077357
Regressão Logística,0.7845193058307813,0.37188578290528174,0.7975384615384614,0.5054094786052398,0.8694370964841014
