Model,Accuracy,Precision,Recall,F1,ROC-AUC
Random Forest,0.9026481715006305,0.7734173669467788,0.4492307692307692,0.5609327751464945,0.9226756553935462
Gradient Boosting,0.8884285113793311,0.6344857241142071,0.4738461538461539,0.540110741971207,0.9052339942569725
Logistic Regression,0.7845193058307813,0.37188578290528174,0.7975384615384614,0.5054094786052398,0.8694370964841014
