Feature,Pearson correlation
high_quality,0.7204327126033593
alcohol,0.48486621180851264
volatile acidity,-0.40739351292438425
sulphates,0.2577102599306222
citric acid,0.24082083714719305
total sulfur dioxide,-0.18333914747213004
density,-0.17520792322644704
chlorides,-0.12408453132892894
fixed acidity,0.12197009989725939
free sulfur dioxide,-0.06325964147253875
pH,-0.05245303335788242
residual sugar,0.02200193057996692
